ItemNum,Item,Procedure,TrialType,BlockNumber,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
38,pint,showtrial,Real,2,high,low,irregular,HI_LF_Irr,LI_LF_Irr,Noun
39,friend,showtrial,Real,2,high,high,irregular,HI_HF_Irr,HI_LF_Irr,Noun
40,horse,showtrial,Real,2,high,high,regular,HI_HF_Reg,HI_HF_Irr,Noun
41,doubt,showtrial,Real,2,low,high,irregular,LI_HF_Irr,HI_HF_Reg,Verb
42,seize,showtrial,Real,2,low,low,irregular,LI_LF_Irr,LI_HF_Irr,Verb
43,plum,showtrial,Real,2,high,low,regular,HI_LF_Reg,LI_LF_Irr,Noun
44,trait,showtrial,Real,2,low,low,regular,LI_LF_Reg,HI_LF_Reg,Noun
45,chute,showtrial,Real,2,low,low,irregular,LI_LF_Irr,LI_LF_Reg,Noun
46,steel,showtrial,Real,2,high,high,regular,HI_HF_Reg,LI_LF_Irr,Noun
47,grape,showtrial,Real,2,high,low,regular,HI_LF_Reg,HI_HF_Reg,Noun
48,mumps,showtrial,Real,2,high,low,regular,HI_LF_Reg,HI_LF_Reg,Noun
49,dame,showtrial,Real,2,low,high,regular,LI_HF_Reg,HI_LF_Reg,Noun
50,proud,showtrial,Real,2,low,high,regular,LI_HF_Reg,LI_HF_Reg,Adjective
51,blood,showtrial,Real,2,high,high,irregular,HI_HF_Irr,LI_HF_Reg,Noun
52,crate,showtrial,Real,2,high,low,regular,HI_LF_Reg,HI_HF_Irr,Noun
53,twelve,showtrial,Real,2,high,high,regular,HI_HF_Reg,HI_LF_Reg,Noun
54,sole,showtrial,Real,2,low,low,regular,LI_LF_Reg,HI_HF_Reg,Adjective
55,BREAK,showasbreak,break,2,N/A,N/A,N/A,N/A,N/A,N/A
56,lurch,showtrial,Real,3,low,low,regular,LI_LF_Reg,LI_LF_Reg,Noun
57,blaze,showtrial,Real,3,high,low,regular,HI_LF_Reg,LI_LF_Reg,Noun
58,mousse,showtrial,Real,3,high,low,irregular,HI_LF_Irr,HI_LF_Reg,Noun
59,yell,showtrial,Real,3,high,high,regular,HI_HF_Reg,HI_LF_Irr,Verb
60,steam,showtrial,Real,3,high,high,regular,HI_HF_Reg,HI_HF_Reg,Noun
61,risk,showtrial,Real,3,low,high,regular,LI_HF_Reg,HI_HF_Reg,Noun
62,crude,showtrial,Real,3,low,low,regular,LI_LF_Reg,LI_HF_Reg,Adjective
63,laugh,showtrial,Real,3,high,high,irregular,HI_HF_Irr,LI_LF_Reg,Verb
64,most,showtrial,Real,3,low,high,irregular,LI_HF_Irr,HI_HF_Irr,Adverb
65,chance,showtrial,Real,3,low,high,regular,LI_HF_Reg,LI_HF_Irr,Noun
66,pawn,showtrial,Real,3,high,low,regular,HI_LF_Reg,LI_HF_Reg,Noun
67,tour,showtrial,Real,3,low,high,irregular,LI_HF_Irr,HI_LF_Reg,Noun
68,reap,showtrial,Real,3,low,low,regular,LI_LF_Reg,LI_HF_Irr,Verb
69,serve,showtrial,Real,3,low,high,regular,LI_HF_Reg,LI_LF_Reg,Verb
70,bough,showtrial,Real,3,low,low,irregular,LI_LF_Irr,LI_HF_Reg,Noun
71,chrome,showtrial,Real,3,high,low,irregular,HI_LF_Irr,LI_LF_Irr,Noun
72,boat,showtrial,Real,3,high,high,regular,HI_HF_Reg,HI_LF_Irr,Noun
73,dough,showtrial,Real,3,high,high,irregular,HI_HF_Irr,HI_HF_Reg,Noun
74,wrote,showtrial,Real,3,low,high,regular,LI_HF_Reg,HI_HF_Irr,Verb
75,hearse,showtrial,Real,3,high,low,irregular,HI_LF_Irr,LI_HF_Reg,Noun
76,son,showtrial,Real,3,high,high,irregular,HI_HF_Irr,HI_LF_Irr,Noun
77,broad,showtrial,Real,3,low,high,irregular,LI_HF_Irr,HI_HF_Irr,Adjective
78,dumb,showtrial,Real,3,low,high,regular,LI_HF_Reg,LI_HF_Irr,Adjective
79,mulch,showtrial,Real,3,high,low,regular,HI_LF_Reg,LI_HF_Reg,Noun
80,hoop,showtrial,Real,3,high,low,regular,HI_LF_Reg,HI_LF_Reg,Noun
81,BREAK,showasbreak,break,3,N/A,N/A,N/A,N/A,N/A,N/A
82,arc,showtrial,Real,4,high,low,regular,HI_LF_Reg,HI_LF_Reg,Noun
83,flank,showtrial,Real,4,low,low,regular,LI_LF_Reg,HI_LF_Reg,Noun
84,lose,showtrial,Real,4,low,high,irregular,LI_HF_Irr,LI_LF_Reg,Verb
85,source,showtrial,Real,4,low,high,irregular,LI_HF_Irr,LI_HF_Irr,Noun
86,butch,showtrial,Real,4,high,low,irregular,HI_LF_Irr,LI_HF_Irr,Adjective
87,soot,showtrial,Real,4,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Noun
88,hinge,showtrial,Real,4,high,low,regular,HI_LF_Reg,HI_LF_Irr,Noun
89,black,showtrial,Real,4,high,high,regular,HI_HF_Reg,HI_LF_Reg,Noun
90,prove,showtrial,Real,4,low,high,irregular,LI_HF_Irr,HI_HF_Reg,Verb
91,wing,showtrial,Real,4,high,high,regular,HI_HF_Reg,LI_HF_Irr,Noun
92,coup,showtrial,Real,4,low,low,irregular,LI_LF_Irr,HI_HF_Reg,Noun
93,sledge,showtrial,Real,4,low,low,regular,LI_LF_Reg,LI_LF_Irr,Noun
94,wolf,showtrial,Real,4,high,high,irregular,HI_HF_Irr,LI_LF_Reg,Noun
95,hearth,showtrial,Real,4,high,low,irregular,HI_LF_Irr,HI_HF_Irr,Noun
96,breech,showtrial,Real,4,low,low,regular,LI_LF_Reg,HI_LF_Irr,Noun
97,gauge,showtrial,Real,4,low,low,irregular,LI_LF_Irr,LI_LF_Reg,Noun
98,yield,showtrial,Real,4,high,low,regular,HI_LF_Reg,LI_LF_Irr,Verb
99,flood,showtrial,Real,4,high,low,irregular,HI_LF_Irr,HI_LF_Reg,Noun
100,grow,showtrial,Real,4,low,high,irregular,LI_HF_Irr,HI_LF_Irr,Verb
101,realm,showtrial,Real,4,low,low,irregular,LI_LF_Irr,LI_HF_Irr,Noun
102,shell,showtrial,Real,4,high,high,regular,HI_HF_Reg,LI_LF_Irr,Noun
103,fake,showtrial,Real,4,low,high,regular,LI_HF_Reg,HI_HF_Reg,Adjective
104,hark,showtrial,Real,4,low,low,regular,LI_LF_Reg,LI_HF_Reg,Verb
105,strife,showtrial,Real,4,low,low,regular,LI_LF_Reg,LI_LF_Reg,Noun
106,choir,showtrial,Real,4,high,low,irregular,HI_LF_Irr,LI_LF_Reg,Noun
