ItemNum,Item,Procedure,TrialType,BlockNumber,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
1,cat,showtrial,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
2,book,showtrial,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
3,whale,showlastpractice,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
4,ton,showtrial,Real,1,low,low,irregular,LI_LF_Irr,N/A,Noun
5,grace,showtrial,Real,1,low,high,regular,LI_HF_Reg,LI_LF_Irr,Noun
6,tough,showtrial,Real,1,low,high,irregular,LI_HF_Irr,LI_HF_Reg,Adjective
7,heart,showtrial,Real,1,high,high,irregular,HI_HF_Irr,LI_HF_Irr,Noun
8,shove,showtrial,Real,1,high,high,irregular,HI_HF_Irr,HI_HF_Irr,Verb
9,help,showtrial,Real,1,low,high,regular,LI_HF_Reg,HI_HF_Irr,Verb
10,womb,showtrial,Real,1,high,low,irregular,HI_LF_Irr,LI_HF_Reg,Noun
11,gloat,showtrial,Real,1,low,low,regular,LI_LF_Reg,HI_LF_Irr,Verb
12,sew,showtrial,Real,1,high,low,irregular,HI_LF_Irr,LI_LF_Reg,Verb
13,week,showtrial,Real,1,low,high,regular,LI_HF_Reg,HI_LF_Irr,Noun
14,slept,showtrial,Real,1,high,high,regular,HI_HF_Reg,LI_HF_Reg,Verb
15,hoof,showtrial,Real,1,high,low,irregular,HI_LF_Irr,HI_HF_Reg,Noun
16,once,showtrial,Real,1,low,high,irregular,LI_HF_Irr,HI_LF_Irr,Adverb
17,scab,showtrial,Real,1,high,low,regular,HI_LF_Reg,LI_HF_Irr,Noun
18,break,showtrial,Real,1,high,high,irregular,HI_HF_Irr,HI_LF_Reg,Verb
19,chic,showtrial,Real,1,low,low,irregular,LI_LF_Irr,HI_HF_Irr,Adjective
20,wear,showtrial,Real,1,low,high,irregular,LI_HF_Irr,LI_LF_Irr,Verb
21,cough,showtrial,Real,1,high,low,irregular,HI_LF_Irr,LI_HF_Irr,Noun
22,trench,showtrial,Real,1,high,low,regular,HI_LF_Reg,HI_LF_Irr,Noun
23,awe,showtrial,Real,1,low,low,irregular,LI_LF_Irr,HI_LF_Reg,Noun
24,sweat,showtrial,Real,1,high,high,irregular,HI_HF_Irr,LI_LF_Irr,Noun
25,brisk,showtrial,Real,1,low,low,regular,LI_LF_Reg,HI_HF_Irr,Adjective
26,apt,showtrial,Real,1,low,low,regular,LI_LF_Reg,LI_LF_Reg,Adjective
27,choose,showtrial,Real,1,low,high,irregular,LI_HF_Irr,LI_LF_Reg,Verb
28,fire,showtrial,Real,1,high,high,regular,HI_HF_Reg,LI_HF_Irr,Noun
29,BREAK,showasbreak,break,1,N/A,N/A,N/A,N/A,N/A,N/A
30,toast,showtrial,Real,2,high,high,regular,HI_HF_Reg,HI_HF_Reg,Noun
31,dearth,showtrial,Real,2,low,low,irregular,LI_LF_Irr,HI_HF_Reg,Noun
32,suave,showtrial,Real,2,low,low,irregular,LI_LF_Irr,LI_LF_Irr,Adjective
33,tame,showtrial,Real,2,low,low,regular,LI_LF_Reg,LI_LF_Irr,Verb
34,crane,showtrial,Real,2,high,high,regular,HI_HF_Reg,LI_LF_Reg,Noun
35,steak,showtrial,Real,2,high,high,irregular,HI_HF_Irr,HI_HF_Reg,Noun
36,axe,showtrial,Real,2,high,low,irregular,HI_LF_Irr,HI_HF_Irr,Noun
37,leapt,showtrial,Real,2,low,low,irregular,LI_LF_Irr,HI_LF_Irr,Verb
