Date	Time	SubjectID	BuildTestID	EPrimeTemplateID	ExperimentNameShort	PatternNumber	RunInPeriod	PatternChoiceOrder	ThePattern	PatternLength	RT	CRESP	IncorrRT	IncorrResp	CurPatternElementNum	CurTargetKey	TotalElementNum	SequenceNum	TimeOnSequence	OptionA	OptionB	OptionC	OptionD	StimVersion	Volume	PresOrder
4/4/2023	1:23:04 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	780	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	14	14	15607	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4123
4/4/2023	1:23:05 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	595	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	15	15	16523	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	4231
4/4/2023	1:23:06 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	779	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	16	16	17619	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//star.bmp	StandardReadMap	-1000	2314
4/4/2023	1:23:07 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	746	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	17	17	18679	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	2341
4/4/2023	1:23:08 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	779	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	18	18	19782	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	StandardReadMap	-1000	4132
4/4/2023	1:23:08 PM	KRD	42	34	Antelopes	1	False	ABCD	1	1	779	resources//stimuli//Antelopes//triangle.bmp	0	NA	1	A	19	19	20001	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	3241
4/4/2023	1:23:15 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	1544	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	1	1	1749	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	1243
4/4/2023	1:23:16 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	679	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	2	1	2758	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4123
4/4/2023	1:23:17 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	746	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	3	2	3827	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	3241
4/4/2023	1:23:18 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	779	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	4	2	4925	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4123
