ItemNum,Word,Procedure,TrialType,Block,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
105,strife,showtrial,real,4,low,low,regular,LI_LF_Reg,LI_LF_Reg,Noun
106,choir,showtrial,real,4,high,low,irregular,HI_LF_Irr,LI_LF_Reg,Noun
