ItemNum,Item,Procedure,TrialType,Block,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
61,gross,showtrial,real,7,low,high,irregular,LI_HF_Irr,HI_HF_Irr,Adjective
62,isle,showtrial,real,7,high,low,irregular,HI_LF_Irr,LI_HF_Irr,Noun
63,first,showtrial,real,7,high,high,regular,HI_HF_Reg,HI_LF_Irr,Adverb
64,sown,showtrial,real,7,low,low,irregular,LI_LF_Irr,HI_HF_Reg,Verb
65,bored,showtrial,real,7,low,high,regular,LI_HF_Reg,LI_LF_Irr,Adjective
66,flow,showtrial,real,7,low,high,irregular,LI_HF_Irr,LI_HF_Reg,Noun
67,shirt,showtrial,real,7,high,high,regular,HI_HF_Reg,LI_HF_Irr,Noun
68,ail,showtrial,real,7,low,low,regular,LI_LF_Reg,HI_HF_Reg,Verb
69,crest,showtrial,real,7,high,low,regular,HI_LF_Reg,LI_LF_Reg,Noun
70,rough,showtrial,real,7,low,high,irregular,LI_HF_Irr,HI_LF_Reg,Adjective
71,thyme,showtrial,real,7,low,low,irregular,LI_LF_Irr,LI_HF_Irr,Noun
72,pear,showtrial,real,7,high,low,irregular,HI_LF_Irr,LI_LF_Irr,Noun
73,suede,showtrial,real,7,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Noun
74,phase,showtrial,real,7,low,high,irregular,LI_HF_Irr,HI_LF_Irr,Noun
75,hedge,showtrial,real,7,high,low,regular,HI_LF_Reg,LI_HF_Irr,Noun
76,sheer,showtrial,real,7,low,low,regular,LI_LF_Reg,HI_LF_Reg,Adjective
77,sit,showtrial,real,7,high,high,regular,HI_HF_Reg,LI_LF_Reg,Verb
78,ghoul,showtrial,real,7,high,low,irregular,HI_LF_Irr,HI_HF_Reg,Noun
79,scarce,showtrial,real,7,low,low,irregular,LI_LF_Irr,HI_LF_Irr,Adjective
80,shoe,showtrial,real,7,high,high,irregular,HI_HF_Irr,LI_LF_Irr,Noun
81,BREAK,showasbreak,break,7,N/A,N/A,N/A,N/A,N/A,N/A
82,climb,showtrial,real,8,high,high,irregular,HI_HF_Irr,HI_HF_Irr,Verb
83,sheen,showtrial,real,8,low,low,regular,LI_LF_Reg,HI_HF_Irr,Noun
84,hate,showtrial,real,8,low,high,regular,LI_HF_Reg,LI_LF_Reg,Verb
85,plaid,showtrial,real,8,high,low,irregular,HI_LF_Irr,LI_HF_Reg,Noun
86,wink,showtrial,real,8,high,low,regular,HI_LF_Reg,HI_LF_Irr,Noun
